Best Solution:
Moderator: 1686755036370945
  Ad ID: 1773563174916090
Moderator: 1743415203890193
  Ad ID: 1772654123130880
  Ad ID: 1771428093692960
  Ad ID: 1772956714881020
  Ad ID: 1773195930408000
  Ad ID: 1773407117804540
  Ad ID: 1773325460348970
  Ad ID: 1773483025949740
  Ad ID: 1773491865387010
  Ad ID: 1773496045283320
  Ad ID: 1773564256033840
  Ad ID: 1773539525689410
  Ad ID: 1773539259886590
  Ad ID: 1773563022301230
  Ad ID: 1773570931015730
  Ad ID: 1773041135844380
  Ad ID: 1773586542527540
  Ad ID: 1773564596255790
  Ad ID: 1773591118496760
  Ad ID: 1773588533564490
  Ad ID: 1773598961231870
  Ad ID: 1773616109040640
  Ad ID: 1773554102109180
  Ad ID: 1773565659739130
  Ad ID: 1773473425351680
  Ad ID: 1773466606407680
  Ad ID: 1773548744854530
  Ad ID: 1773543641502720
Moderator: 1710346282427393
  Ad ID: 1771918735167520
  Ad ID: 1762212363103230
  Ad ID: 1768770500277240
  Ad ID: 1770125629783080
  Ad ID: 1771763579182090
  Ad ID: 1771776156559360
  Ad ID: 1772865045918720
  Ad ID: 1773014048275450
  Ad ID: 1773058495457280
  Ad ID: 1773218613855230
  Ad ID: 1773379265167360
  Ad ID: 1773407948907520
  Ad ID: 1773464422490110
  Ad ID: 1773498940746750
  Ad ID: 1773506298206260
  Ad ID: 1773444714413050
  Ad ID: 1773555850422270
  Ad ID: 1773553615378430
  Ad ID: 1773569892751410
  Ad ID: 1773421506850810
  Ad ID: 1773590445259770
  Ad ID: 1773599174246400
  Ad ID: 1773597818826750
  Ad ID: 1773602849439750
  Ad ID: 1773563462342660
  Ad ID: 1773565824694310
  Ad ID: 1773564297499640
  Ad ID: 1773584751486980
  Ad ID: 1773561760023550
  Ad ID: 1773549827149820
  Ad ID: 1773557676446720
  Ad ID: 1773566542216190
Moderator: 1748544247125010
  Ad ID: 1773380902068240
  Ad ID: 1773555261406240
  Ad ID: 1768751973551100
  Ad ID: 1771376879697930
  Ad ID: 1772566592840700
  Ad ID: 1772587190858780
  Ad ID: 1772764891852830
  Ad ID: 1772713294641150
  Ad ID: 1772922488012800
  Ad ID: 1772946544568320
  Ad ID: 1772948286968840
  Ad ID: 1773174136717310
  Ad ID: 1773324003996680
  Ad ID: 1773453740561400
  Ad ID: 1773477395900430
  Ad ID: 1773526673472510
  Ad ID: 1773448796465150
  Ad ID: 1773552397906970
  Ad ID: 1773555169073200
  Ad ID: 1773556442795000
  Ad ID: 1773558400123920
  Ad ID: 1773563822700600
  Ad ID: 1773565996546040
  Ad ID: 1773541777916970
  Ad ID: 1773588776598530
  Ad ID: 1773554200078350
  Ad ID: 1773594369596420
  Ad ID: 1773586002211840
  Ad ID: 1773530290653180
  Ad ID: 1773576869204990
  Ad ID: 1773522130081790
  Ad ID: 1773528397871100
  Ad ID: 1773593544211450
Moderator: 1693678171087873
  Ad ID: 1736022440976400
  Ad ID: 1753694134372400
  Ad ID: 1770133913980930
  Ad ID: 1773127262913530
  Ad ID: 1773399544642560
  Ad ID: 1773402509130750
  Ad ID: 1773478661675050
  Ad ID: 1773474154174460
  Ad ID: 1773476380359680
  Ad ID: 1773477243928590
  Ad ID: 1773499412572160
  Ad ID: 1773500010810370
  Ad ID: 1773514344142850
  Ad ID: 1773529954701310
  Ad ID: 1773536155381760
  Ad ID: 1773539999193090
  Ad ID: 1773550525783090
  Ad ID: 1773552714979330
  Ad ID: 1773559595476990
  Ad ID: 1773565810961410
  Ad ID: 1773561492738040
  Ad ID: 1773531757107200
  Ad ID: 1773576537420800
  Ad ID: 1773582887031850
  Ad ID: 1773553199840260
  Ad ID: 1773592375803900
Moderator: 1771763479218193
  Ad ID: 1773480283351070
  Ad ID: 1773482120758290
  Ad ID: 1773581585756210
  Ad ID: 1773592850568200
  Ad ID: 1771107941048360
  Ad ID: 1772521687798810
  Ad ID: 1772975909604350
  Ad ID: 1773011970863100
  Ad ID: 1773273331833850
  Ad ID: 1773281428452410
  Ad ID: 1773308352736270
  Ad ID: 1773327117719550
  Ad ID: 1773385837526010
  Ad ID: 1773398969689130
  Ad ID: 1773476263138300
  Ad ID: 1773506362094590
  Ad ID: 1773510471356410
  Ad ID: 1773523776647180
  Ad ID: 1773526617449470
  Ad ID: 1773550308376610
  Ad ID: 1773551314843660
  Ad ID: 1773561787440160
  Ad ID: 1773565574174720
  Ad ID: 1773572523915280
  Ad ID: 1773583183416320
  Ad ID: 1773581185516540
  Ad ID: 1773589765827630
  Ad ID: 1773544421621760
  Ad ID: 1773595808398370
  Ad ID: 1773597724774400
  Ad ID: 1773561559703550
  Ad ID: 1773574423543800
  Ad ID: 1773584527985670
  Ad ID: 1773548353044480
  Ad ID: 1773471377242110
Moderator: 1694041901312002
  Ad ID: 1738303151826990
  Ad ID: 1773555767708720
  Ad ID: 1773568833433600
  Ad ID: 1755184457795610
  Ad ID: 1769942257901600
  Ad ID: 1771258254350370
  Ad ID: 1773003037608960
  Ad ID: 1773304304302080
  Ad ID: 1773320694370300
  Ad ID: 1773353761091580
  Ad ID: 1773372419656700
  Ad ID: 1773398499375100
  Ad ID: 1773428648391680
  Ad ID: 1773473131676670
  Ad ID: 1773482129400860
  Ad ID: 1773496193446920
  Ad ID: 1773497171363840
  Ad ID: 1773413914563580
  Ad ID: 1773514528313350
  Ad ID: 1773525253555200
  Ad ID: 1773539061860400
  Ad ID: 1773542682558460
  Ad ID: 1773549803335680
  Ad ID: 1773573965945880
  Ad ID: 1773574842061820
  Ad ID: 1773565957918750
  Ad ID: 1773586526148610
  Ad ID: 1773590011506680
  Ad ID: 1773535586581510
  Ad ID: 1773476406074360
  Ad ID: 1773533145793530
  Ad ID: 1773556597795840
Moderator: 6728796
  Ad ID: 1771473761239070
  Ad ID: 1773517867161630
  Ad ID: 1773538533053470
  Ad ID: 1773534531115000
  Ad ID: 1773577237140490
  Ad ID: 1771318114859020
  Ad ID: 1772649173252140
  Ad ID: 1773250344232960
  Ad ID: 1773313254931450
  Ad ID: 1773442667791360
  Ad ID: 1773468713044990
  Ad ID: 1773480453149690
  Ad ID: 1773481410847740
  Ad ID: 1773490900001790
  Ad ID: 1773526821601280
  Ad ID: 1773535498370050
  Ad ID: 1773537873774640
  Ad ID: 1773535460977670
  Ad ID: 1773536474476560
  Ad ID: 1773512716906490
  Ad ID: 1773551413977080
  Ad ID: 1773556727511040
  Ad ID: 1773564651746300
  Ad ID: 1773569487524890
  Ad ID: 1773596107186220
  Ad ID: 1773577696079870
  Ad ID: 1773567002040330
  Ad ID: 1773582141967370
  Ad ID: 1773591366156350
  Ad ID: 1773443701496830
  Ad ID: 1773542467385340
  Ad ID: 1773573353751550
  Ad ID: 1773616117234680
  Ad ID: 1773497433722880
Moderator: 1710346245842945
  Ad ID: 1769326736514060
  Ad ID: 1772641498622970
  Ad ID: 1773095250074620
  Ad ID: 1773192056685610
  Ad ID: 1773378465857530
  Ad ID: 1773386692618240
  Ad ID: 1773429515128830
  Ad ID: 1773470020908030
  Ad ID: 1773478710983710
  Ad ID: 1773489177012220
  Ad ID: 1773496187817980
  Ad ID: 1773481224091640
  Ad ID: 1773522533860380
  Ad ID: 1773539246173230
  Ad ID: 1773539615800330
  Ad ID: 1773541082927120
  Ad ID: 1773528256886800
  Ad ID: 1773476529048570
  Ad ID: 1773557303306290
  Ad ID: 1773568112865320
  Ad ID: 1773571544186880
  Ad ID: 1773576659810300
  Ad ID: 1773595651365890
  Ad ID: 1773613611608060
  Ad ID: 1773582141967370
  Ad ID: 1773550847587320
  Ad ID: 1773504932290560
  Ad ID: 1773580687645700
  Ad ID: 1773593538977790
  Ad ID: 1773551061706750
Moderator: 5090932
  Ad ID: 1773573385550850
  Ad ID: 1750082890862640
  Ad ID: 1756949503092750
  Ad ID: 1768212623728690
  Ad ID: 1771269483565050
  Ad ID: 1772660973653040
  Ad ID: 1772992096037930
  Ad ID: 1773134455078910
  Ad ID: 1773248145757210
  Ad ID: 1773170491506750
  Ad ID: 1773202312673320
  Ad ID: 1773274023604220
  Ad ID: 1773377987217470
  Ad ID: 1773390666846210
  Ad ID: 1773462113869820
  Ad ID: 1773480125175900
  Ad ID: 1773490256855040
  Ad ID: 1773495043531790
  Ad ID: 1773533117382660
  Ad ID: 1773536845263870
  Ad ID: 1773540745789530
  Ad ID: 1773541425169410
  Ad ID: 1773540490037250
  Ad ID: 1773544716828720
  Ad ID: 1773553774615550
  Ad ID: 1773555184803840
  Ad ID: 1773559552995320
  Ad ID: 1773563092495360
  Ad ID: 1773559399550990
  Ad ID: 1773556602847250
  Ad ID: 1773561701517340
  Ad ID: 1773564710884350
  Ad ID: 1773566580201480
  Ad ID: 1773563874367550
  Ad ID: 1773570363684880
  Ad ID: 1773569216865280
  Ad ID: 1773585193455630
  Ad ID: 1773585472030750
  Ad ID: 1773584559940610
  Ad ID: 1773550585496580
  Ad ID: 1773588670036990
  Ad ID: 1773598588729350
  Ad ID: 1773476818514940
  Ad ID: 1773571986932730
  Ad ID: 1773556059014140
  Ad ID: 1773563716800510
Moderator: 6283878
  Ad ID: 1772047094262780
  Ad ID: 1773591430344740
  Ad ID: 1767613297744890
  Ad ID: 1771939832688650
  Ad ID: 1772613031051280
  Ad ID: 1773163262956540
  Ad ID: 1773178408600570
  Ad ID: 1773339258429440
  Ad ID: 1772557174069290
  Ad ID: 1773388370682880
  Ad ID: 1773488530110460
  Ad ID: 1773499583005690
  Ad ID: 1773500729266170
  Ad ID: 1773534979216380
  Ad ID: 1773540561693690
  Ad ID: 1773544669517850
  Ad ID: 1773542031608830
  Ad ID: 1773550882013230
  Ad ID: 1773552412928010
  Ad ID: 1773566456988690
  Ad ID: 1773571134387200
  Ad ID: 1773579117349900
  Ad ID: 1773583852310570
  Ad ID: 1773571295226920
  Ad ID: 1773561145692160
  Ad ID: 1773601407504380
  Ad ID: 1773581385821180
  Ad ID: 1773546461535230
Moderator: 5916755
  Ad ID: 1773480379372540
  Ad ID: 1773552155744300
  Ad ID: 1773565999398920
  Ad ID: 1767686425946160
  Ad ID: 1772297211611150
  Ad ID: 1772883554566140
  Ad ID: 1773054321984540
  Ad ID: 1773162558211100
  Ad ID: 1773194025319420
  Ad ID: 1773254595533820
  Ad ID: 1773325457770490
  Ad ID: 1773340229115900
  Ad ID: 1773361267062780
  Ad ID: 1773363694180350
  Ad ID: 1773397846745090
  Ad ID: 1773481504951300
  Ad ID: 1773504196160560
  Ad ID: 1773503934509050
  Ad ID: 1773504010451980
  Ad ID: 1773513208888350
  Ad ID: 1773534469479420
  Ad ID: 1773541403839530
  Ad ID: 1773553703075840
  Ad ID: 1773562003415040
  Ad ID: 1773576878960690
  Ad ID: 1773579849439230
  Ad ID: 1773580175345670
  Ad ID: 1773580871563290
  Ad ID: 1773582974657530
  Ad ID: 1773581345065980
  Ad ID: 1773545528971260
  Ad ID: 1773596815677440
  Ad ID: 1773567729524780
  Ad ID: 1773502115670010
  Ad ID: 1773527591081980
  Ad ID: 1773512420231170
  Ad ID: 1773540696932350
  Ad ID: 1773509288626170
Moderator: 1695200048739329
  Ad ID: 1772042341555230
  Ad ID: 1773482261978110
  Ad ID: 1773557432104960
  Ad ID: 1773568208430120
  Ad ID: 1763243878311980
  Ad ID: 1764051926987770
  Ad ID: 1767066754948140
  Ad ID: 1773128086458400
  Ad ID: 1773398418603040
  Ad ID: 1773444094957570
  Ad ID: 1773463040552990
  Ad ID: 1773495011224570
  Ad ID: 1773506625000440
  Ad ID: 1773528119303170
  Ad ID: 1773534347216900
  Ad ID: 1773540002488330
  Ad ID: 1773541065048090
  Ad ID: 1773543023985660
  Ad ID: 1773541497594880
  Ad ID: 1773564782764040
  Ad ID: 1773473919932410
  Ad ID: 1773566509200440
  Ad ID: 1773555481657390
  Ad ID: 1773487939580930
  Ad ID: 1773575145308190
  Ad ID: 1773576629032970
  Ad ID: 1773588773397500
  Ad ID: 1773178423034890
  Ad ID: 1773587553342510
  Ad ID: 1773599304132620
  Ad ID: 1773611850591230
  Ad ID: 1773525498074110
  Ad ID: 1773612473834500
  Ad ID: 1773581235549180
Moderator: 1716552374593537
  Ad ID: 1773304913093640
  Ad ID: 1773552560535600
  Ad ID: 1759042115479580
  Ad ID: 1772933455526940
  Ad ID: 1772925890595870
  Ad ID: 1773126555856940
  Ad ID: 1773202364056570
  Ad ID: 1773219092912130
  Ad ID: 1773268409377800
  Ad ID: 1773280530186270
  Ad ID: 1773491116338170
  Ad ID: 1773516485775360
  Ad ID: 1773536553224250
  Ad ID: 1773539874592770
  Ad ID: 1773538690220030
  Ad ID: 1773541304481840
  Ad ID: 1773553436984320
  Ad ID: 1773550162893820
  Ad ID: 1773552642079770
  Ad ID: 1773557957322840
  Ad ID: 1773561191892010
  Ad ID: 1773494203163650
  Ad ID: 1773564011076700
  Ad ID: 1773560178211890
  Ad ID: 1773565202192400
  Ad ID: 1773564410299390
  Ad ID: 1773540507516940
  Ad ID: 1773592395794430
  Ad ID: 1773600932649980
  Ad ID: 1773603299917870
  Ad ID: 1773488290137080
  Ad ID: 1773535464752120
  Ad ID: 1773597572910080
  Ad ID: 1773531715746820
  Ad ID: 1773600846601210
  Ad ID: 1773492824455170
Moderator: 1737654173573122
  Ad ID: 1760747822381050
  Ad ID: 1760794835125260
  Ad ID: 1773525038428170
  Ad ID: 1773564701405210
  Ad ID: 1762215801009180
  Ad ID: 1772392108454990
  Ad ID: 1773019849379900
  Ad ID: 1773109849327630
  Ad ID: 1773125384539180
  Ad ID: 1773139846847480
  Ad ID: 1773362973830150
  Ad ID: 1773368789503020
  Ad ID: 1773374682534910
  Ad ID: 1773434275120120
  Ad ID: 1773473666432040
  Ad ID: 1773506625000440
  Ad ID: 1773537387052050
  Ad ID: 1773549029581820
  Ad ID: 1773550537128990
  Ad ID: 1773556033151000
  Ad ID: 1773556033151000
  Ad ID: 1773564011076700
  Ad ID: 1773567374872620
  Ad ID: 1773533083942910
  Ad ID: 1773574692595760
  Ad ID: 1773574638850040
  Ad ID: 1773584383522840
  Ad ID: 1773561363481600
  Ad ID: 1773587995868160
  Ad ID: 1773555298800640
  Ad ID: 1773547563202560
  Ad ID: 1773503705124860
  Ad ID: 1773510794281980
  Ad ID: 1773574612465660
Moderator: 1672986653202437
  Ad ID: 1773562136872970
  Ad ID: 1760276318957580
  Ad ID: 1767415362667530
  Ad ID: 1771639952060430
  Ad ID: 1770402430918680
  Ad ID: 1772464678333440
  Ad ID: 1772924431977500
  Ad ID: 1773079966060570
  Ad ID: 1773238906936320
  Ad ID: 1773294980930600
  Ad ID: 1773297527369730
  Ad ID: 1773311799168000
  Ad ID: 1773374824970240
  Ad ID: 1773411229244420
  Ad ID: 1773414078872570
  Ad ID: 1773427134177280
  Ad ID: 1773436187564030
  Ad ID: 1773438987599870
  Ad ID: 1773505983866880
  Ad ID: 1773517636032510
  Ad ID: 1773529781399550
  Ad ID: 1773537926946860
  Ad ID: 1773547635291130
  Ad ID: 1773552417888370
  Ad ID: 1773556711840760
  Ad ID: 1773557866725390
  Ad ID: 1773558955354160
  Ad ID: 1773559497010190
  Ad ID: 1773570454539290
  Ad ID: 1773575343594510
  Ad ID: 1773583346593790
  Ad ID: 1773589970633730
  Ad ID: 1773585045164030
  Ad ID: 1773597740320770
  Ad ID: 1773483686643710
  Ad ID: 1773509150924800
  Ad ID: 1773592694133760
  Ad ID: 1773576947767300
  Ad ID: 1773563274202110
  Ad ID: 1773585873478650
Moderator: 1752804614390817
  Ad ID: 1772652497968140
  Ad ID: 1773482203336750
  Ad ID: 1773531463364640
  Ad ID: 1773536054459420
  Ad ID: 1773563962305530
  Ad ID: 1772392391364650
  Ad ID: 1772932717960190
  Ad ID: 1773089738223610
  Ad ID: 1773220880908330
  Ad ID: 1773245258159100
  Ad ID: 1773284733287480
  Ad ID: 1773300013803520
  Ad ID: 1773369613029370
  Ad ID: 1773410487865340
  Ad ID: 1773465813379070
  Ad ID: 1773444098813950
  Ad ID: 1773482400083960
  Ad ID: 1773507231626240
  Ad ID: 1773522982905870
  Ad ID: 1773533536126980
  Ad ID: 1773521531070510
  Ad ID: 1773552921810940
  Ad ID: 1773558773907470
  Ad ID: 1773480746962940
  Ad ID: 1773563197973520
  Ad ID: 1773564834706460
  Ad ID: 1773570549507100
  Ad ID: 1773560710478840
  Ad ID: 1773582067081230
  Ad ID: 1773573713902590
  Ad ID: 1773587770582020
  Ad ID: 1773587546370060
  Ad ID: 1773595567741980
  Ad ID: 1773594438097920
  Ad ID: 1773612755032080
  Ad ID: 1773553095797770
  Ad ID: 1773572609427460
  Ad ID: 1773494665384960
  Ad ID: 1773560939731960
Moderator: 7389679
  Ad ID: 1771728308589610
  Ad ID: 1773516500661260
  Ad ID: 1773565199740960
  Ad ID: 1773564586885120
  Ad ID: 1760830886456350
  Ad ID: 1769781583716350
  Ad ID: 1772555367161890
  Ad ID: 1772841526470700
  Ad ID: 1773116599134220
  Ad ID: 1773247733330940
  Ad ID: 1773366248980510
  Ad ID: 1773382404983820
  Ad ID: 1773406267471870
  Ad ID: 1773423926795260
  Ad ID: 1773460305931260
  Ad ID: 1773487642553340
  Ad ID: 1773490180812800
  Ad ID: 1773502445902850
  Ad ID: 1773508927704060
  Ad ID: 1773534606017580
  Ad ID: 1773533757671420
  Ad ID: 1773537943733260
  Ad ID: 1773541680672760
  Ad ID: 1773540821704700
  Ad ID: 1773549992418300
  Ad ID: 1773556368703490
  Ad ID: 1773560656588800
  Ad ID: 1773495070574590
  Ad ID: 1773565022769180
  Ad ID: 1773565725554730
  Ad ID: 1773577404514300
  Ad ID: 1773574305976320
  Ad ID: 1773552725131280
  Ad ID: 1773595254528000
  Ad ID: 1773600041425920
  Ad ID: 1773534551674880
Moderator: 1736353481347074
  Ad ID: 1773480225704960
  Ad ID: 1773482319635490
  Ad ID: 1773499149425660
  Ad ID: 1769473573050380
  Ad ID: 1771865773196320
  Ad ID: 1772986219164670
  Ad ID: 1773158299090940
  Ad ID: 1773376681954300
  Ad ID: 1773422762694660
  Ad ID: 1773424679115780
  Ad ID: 1773453215198210
  Ad ID: 1773458321928190
  Ad ID: 1773507446018050
  Ad ID: 1773510471356410
  Ad ID: 1773512417294330
  Ad ID: 1773539073552380
  Ad ID: 1773539555510270
  Ad ID: 1773540623364110
  Ad ID: 1773540786645010
  Ad ID: 1773548909959210
  Ad ID: 1773540312685600
  Ad ID: 1773550246774780
  Ad ID: 1773558889831490
  Ad ID: 1773477198940180
  Ad ID: 1773593733711900
  Ad ID: 1773598948137980
  Ad ID: 1773604378580010
  Ad ID: 1773583832143870
  Ad ID: 1773534011531260
  Ad ID: 1773594081281020
  Ad ID: 1773593682287610
Moderator: 1758321775497234
  Ad ID: 1763922466156570
  Ad ID: 1773370777908240
  Ad ID: 1773493453242380
  Ad ID: 1773541351661580
  Ad ID: 1773547440710670
  Ad ID: 1771371087969280
  Ad ID: 1773501164837890
  Ad ID: 1773590669814780
  Ad ID: 1771116365845520
  Ad ID: 1772989264191490
  Ad ID: 1773045038678040
  Ad ID: 1773180159338520
  Ad ID: 1773291317697560
  Ad ID: 1773384231598080
  Ad ID: 1773439915524090
  Ad ID: 1773502653221900
  Ad ID: 1773507001273340
  Ad ID: 1773531933619240
  Ad ID: 1773537761311740
  Ad ID: 1773542175148030
  Ad ID: 1773551114059790
  Ad ID: 1773555812421680
  Ad ID: 1773569214570490
  Ad ID: 1773582705910780
  Ad ID: 1773583431025660
  Ad ID: 1773591563979810
  Ad ID: 1773592438307840
  Ad ID: 1773601112492080
  Ad ID: 1773533477665790
  Ad ID: 1773442029896700
  Ad ID: 1773534016499710
  Ad ID: 1773587665925120
Moderator: 8626002
  Ad ID: 1772999635920940
  Ad ID: 1766965890611230
  Ad ID: 1768309048347660
  Ad ID: 1772043264727070
  Ad ID: 1773253690740730
  Ad ID: 1773336878727180
  Ad ID: 1773346587968530
  Ad ID: 1773446052621310
  Ad ID: 1773462979316800
  Ad ID: 1773463494131710
  Ad ID: 1773467389715470
  Ad ID: 1773467416759330
  Ad ID: 1773492109080570
  Ad ID: 1773501246895110
  Ad ID: 1773534046263360
  Ad ID: 1773536969017350
  Ad ID: 1773541872914430
  Ad ID: 1773552695156740
  Ad ID: 1773553424683000
  Ad ID: 1773556216972290
  Ad ID: 1773561850529790
  Ad ID: 1773578357657640
  Ad ID: 1773570976836640
  Ad ID: 1773569522615310
  Ad ID: 1773574096344110
  Ad ID: 1773574402448380
  Ad ID: 1773587546378240
  Ad ID: 1773602629238800
  Ad ID: 1773525423379460
  Ad ID: 1773495479672830
  Ad ID: 1773495177630720
  Ad ID: 1773562189099070
  Ad ID: 1773586971603960
  Ad ID: 1773559381768190
Moderator: 7977305
  Ad ID: 1772481162313740
  Ad ID: 1773482300678140
  Ad ID: 1773547440710670
  Ad ID: 1773569448396800
  Ad ID: 1773591642451970
  Ad ID: 1766698788560920
  Ad ID: 1771656535569400
  Ad ID: 1772667506652160
  Ad ID: 1772841526470700
  Ad ID: 1773015577352240
  Ad ID: 1773041839277100
  Ad ID: 1773207852741640
  Ad ID: 1773289172347900
  Ad ID: 1773458464101380
  Ad ID: 1773470838389800
  Ad ID: 1773524217284610
  Ad ID: 1773535726321660
  Ad ID: 1773545561815040
  Ad ID: 1773549445809200
  Ad ID: 1773549265156140
  Ad ID: 1773556649361450
  Ad ID: 1773569095457810
  Ad ID: 1773531261207600
  Ad ID: 1773573803222060
  Ad ID: 1773591307636740
  Ad ID: 1773605495287810
  Ad ID: 1773567374563350
  Ad ID: 1773583398862860
  Ad ID: 1773596635725820
  Ad ID: 1773609085420540
  Ad ID: 1773582833765440
  Ad ID: 1773579175794690
  Ad ID: 1773574431133690
Moderator: 1811986
  Ad ID: 1773481256881160
  Ad ID: 1773595585697790
  Ad ID: 1767594840576010
  Ad ID: 1767576583412840
  Ad ID: 1772566403254300
  Ad ID: 1772650591253500
  Ad ID: 1772581320294440
  Ad ID: 1773023253057550
  Ad ID: 1773076585448450
  Ad ID: 1773259839505400
  Ad ID: 1773321016454140
  Ad ID: 1773401712756780
  Ad ID: 1773467269520430
  Ad ID: 1773479337522190
  Ad ID: 1773497027238930
  Ad ID: 1773503934509050
  Ad ID: 1773513208887290
  Ad ID: 1773536712475650
  Ad ID: 1773539162740740
  Ad ID: 1773544203922430
  Ad ID: 1773542965658740
  Ad ID: 1773569079861260
  Ad ID: 1773575883782140
  Ad ID: 1773581140096010
  Ad ID: 1773584877989900
  Ad ID: 1773579590755360
  Ad ID: 1773444979098620
  Ad ID: 1773472175949880
  Ad ID: 1773601609929730
  Ad ID: 1773572618120190
Moderator: 1732422617628673
  Ad ID: 1773480232206370
  Ad ID: 1773482317665290
  Ad ID: 1773535777495090
  Ad ID: 1773538077766720
  Ad ID: 1767565549913130
  Ad ID: 1772991411499030
  Ad ID: 1773011404705800
  Ad ID: 1773014658821120
  Ad ID: 1773137737196560
  Ad ID: 1773309774178300
  Ad ID: 1773369900339200
  Ad ID: 1773457870912510
  Ad ID: 1773496081091600
  Ad ID: 1773498684665860
  Ad ID: 1773496192140320
  Ad ID: 1773499816756220
  Ad ID: 1773533610737730
  Ad ID: 1773548291830800
  Ad ID: 1773549247150080
  Ad ID: 1773551488039000
  Ad ID: 1773553689067520
  Ad ID: 1773559839462430
  Ad ID: 1773559598986240
  Ad ID: 1773535348162610
  Ad ID: 1773526525265920
  Ad ID: 1773571186666490
  Ad ID: 1773572651053100
  Ad ID: 1773569131879420
  Ad ID: 1773489858204670
  Ad ID: 1773518057930750
  Ad ID: 1773537034380290
  Ad ID: 1773609061343230
  Ad ID: 1773567417339900
  Ad ID: 1773590981924860
Moderator: 1773654622274561
  Ad ID: 1755463765826560
  Ad ID: 1770053195932670
  Ad ID: 1770550093207580
  Ad ID: 1771216137787400
  Ad ID: 1772860429990940
  Ad ID: 1772918841366570
  Ad ID: 1772940353879040
  Ad ID: 1773021696606200
  Ad ID: 1773236977025020
  Ad ID: 1773326218095620
  Ad ID: 1773470829289470
  Ad ID: 1773513853917230
  Ad ID: 1773530448841730
  Ad ID: 1773532601613320
  Ad ID: 1773528710208510
  Ad ID: 1773552598164480
  Ad ID: 1773559551925290
  Ad ID: 1773561672785930
  Ad ID: 1773579234769920
  Ad ID: 1773585538579470
  Ad ID: 1773585785457660
  Ad ID: 1773590925088760
  Ad ID: 1773595114820640
  Ad ID: 1773522667760640
Moderator: 8239853
  Ad ID: 1773555303437360
  Ad ID: 1768023029956620
  Ad ID: 1771048296168460
  Ad ID: 1773052853562370
  Ad ID: 1773076716492800
  Ad ID: 1773368593530880
  Ad ID: 1773460595877890
  Ad ID: 1773466495690750
  Ad ID: 1773473507261440
  Ad ID: 1773480138807290
  Ad ID: 1773503719442430
  Ad ID: 1773524798123050
  Ad ID: 1773530189174780
  Ad ID: 1773541058881550
  Ad ID: 1773543970898990
  Ad ID: 1773567704914990
  Ad ID: 1773465364079610
  Ad ID: 1773553903124560
  Ad ID: 1773555912582170
  Ad ID: 1773566814699550
  Ad ID: 1773574439800850
  Ad ID: 1773558875028480
  Ad ID: 1773580728563710
  Ad ID: 1773584754347000
  Ad ID: 1773595951806460
  Ad ID: 1773597019970560
  Ad ID: 1773374689225720
  Ad ID: 1773561542596610
  Ad ID: 1773581770619900
  Ad ID: 1773553682706430
  Ad ID: 1773576627719160
  Ad ID: 1773568971696120
  Ad ID: 1773529860793340
Moderator: 2326827
  Ad ID: 1773537121188880
  Ad ID: 1773558020563960
  Ad ID: 1773606969861150
  Ad ID: 1771129435850750
  Ad ID: 1772948006635530
  Ad ID: 1772954822315000
  Ad ID: 1773143114874880
  Ad ID: 1773192021888030
  Ad ID: 1773260666267650
  Ad ID: 1773395277272060
  Ad ID: 1773406416726020
